row_id,clip_id,source_batch,candidate_bucket,candidate_reason,reviewer_split_other_bucket,reviewer_manual_audit_label,reviewer_shot_attempt,reviewer_outcome,review_status,reviewed_by,qa_status,notes,queue_source,source_artifact_path,supporting_audit_artifact_path,batch_type,review_task_type,source_domain,job_id,request_id,upload_trace_id,inference_attempt_id,model_version,predicted_flat_label,predicted_event_family,predicted_outcome,predicted_shot_subtype,proposal_accepted,family_gate_open,shot_head_invoked,acceptance_score,calibrated_acceptance_probability,energy_score,artifact_split_other_bucket,artifact_manual_audit_label,expected_event_family,expected_outcome,expected_shot_subtype,priority_score
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:6c0850d1f7ce471883085e31f949bdb8:clip-1,6c0850d1f7ce471883085e31f949bdb8:clip-1,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,artifact_split_other=ambiguous_event|event_family_other|hard_negative_bucket_assignment|needs_human_bucket_assignment|predicted_event_family_other|predicted_highlight|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_demo_mixed_unlabeled,6c0850d1f7ce471883085e31f949bdb8,b185363b-350a-4e5e-ad72-feafe1816805,6c4674691d00497aa937a6818bf2d125,d92bd9bad69d49bf8dcbbf6e00e8dc7a,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0764,0.9236,-1.1246,ambiguous_event,,,,,0.9615
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:95e9a27a15c34e9f8cd367e464cf6905:clip-1,95e9a27a15c34e9f8cd367e464cf6905:clip-1,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,artifact_split_other=ambiguous_event|event_family_other|hard_negative_bucket_assignment|needs_human_bucket_assignment|predicted_event_family_other|predicted_highlight|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_demo_mixed_unlabeled,95e9a27a15c34e9f8cd367e464cf6905,cd96c319-1fcb-422b-b287-df57ce819855,75ac1ca115364ef99ac4c3ae2da4bafa,c12957c4533f41fab29361d49f5fed8d,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0764,0.9236,-1.1246,ambiguous_event,,,,,0.9615
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:1ce65fa7f590407ebf96324cc30277d8:clip-1,1ce65fa7f590407ebf96324cc30277d8:clip-1,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,hard_negative_bucket_assignment|predicted_highlight|event_family_other|needs_human_bucket_assignment|artifact_split_other=ambiguous_event|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_known_miss,1ce65fa7f590407ebf96324cc30277d8,39bc94d2-aafe-481f-ac2c-815c071fe263,79f0eb41f6484bf0ab8ef8c758b37d3c,2ca24d2b5a7a4d87bf3c5cbe38bf491b,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0661,0.9339,-1.1815,ambiguous_event,,,,,0.9599
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:7cdf4a39699f4c0ca5e6acacdcab30b1:clip-1,7cdf4a39699f4c0ca5e6acacdcab30b1:clip-1,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,hard_negative_bucket_assignment|predicted_highlight|event_family_other|needs_human_bucket_assignment|artifact_split_other=ambiguous_event|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_known_miss,7cdf4a39699f4c0ca5e6acacdcab30b1,fbdcbc85-3964-4c94-ba77-30c5beea3eac,8d521aff21614e7d8e24065acd629774,d6c4a1a6198d455f8849609f930c555a,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0661,0.9339,-1.1815,ambiguous_event,,,,,0.9599
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:dfca3ccbf44443f481fb9f8bb91b3087:clip-1,dfca3ccbf44443f481fb9f8bb91b3087:clip-1,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,hard_negative_bucket_assignment|predicted_highlight|event_family_other|needs_human_bucket_assignment|artifact_split_other=ambiguous_event|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_known_miss,dfca3ccbf44443f481fb9f8bb91b3087,685e2132-e496-465c-8139-c22dadbd9a30,b624810f53494747bed0a69a5af9ae3e,633d19eeda224dabb3f57e78ae723642,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0661,0.9339,-1.1815,ambiguous_event,,,,,0.9599
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:2b49f9b5803041b5b821a48ff2c1fa42:clip-1,2b49f9b5803041b5b821a48ff2c1fa42:clip-1,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,hard_negative_bucket_assignment|predicted_highlight|event_family_other|needs_human_bucket_assignment|artifact_split_other=ambiguous_event|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_known_miss,2b49f9b5803041b5b821a48ff2c1fa42,9800355f-a2cf-401b-8986-085e02c2c84d,067f96857dba41b5aa80509bb62f9473,409bafdca297457689cd733332fecf28,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0655,0.9345,-1.1892,ambiguous_event,,,,,0.9598
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:3b626f1e2d5b4291b4a8a3a7f2cebbd6:clip-1,3b626f1e2d5b4291b4a8a3a7f2cebbd6:clip-1,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,hard_negative_bucket_assignment|predicted_highlight|event_family_other|needs_human_bucket_assignment|artifact_split_other=ambiguous_event|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_known_miss,3b626f1e2d5b4291b4a8a3a7f2cebbd6,8e1e9c4a-5bab-4655-aed2-913283230ba4,807b9e91da4549a3a3b31494a56e76e2,a60b7964c7214e74ab3db36733a8eade,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0655,0.9345,-1.1892,ambiguous_event,,,,,0.9598
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:f0052274d90446209839ed7c97a415c0:clip-1,f0052274d90446209839ed7c97a415c0:clip-1,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,hard_negative_bucket_assignment|predicted_highlight|event_family_other|needs_human_bucket_assignment|artifact_split_other=ambiguous_event|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_known_miss,f0052274d90446209839ed7c97a415c0,88105e80-33e2-4a07-8d6a-f9539898c746,2e8fa6550dfe4102adde968d5b7f5ed8,e03cdb5cb6b0441586eeeefb0435adce,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0655,0.9345,-1.1892,ambiguous_event,,,,,0.9598
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:6c0850d1f7ce471883085e31f949bdb8:clip-3,6c0850d1f7ce471883085e31f949bdb8:clip-3,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,artifact_split_other=ambiguous_event|event_family_other|hard_negative_bucket_assignment|needs_human_bucket_assignment|predicted_event_family_other|predicted_highlight|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_demo_mixed_unlabeled,6c0850d1f7ce471883085e31f949bdb8,b185363b-350a-4e5e-ad72-feafe1816805,6c4674691d00497aa937a6818bf2d125,d92bd9bad69d49bf8dcbbf6e00e8dc7a,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0125,0.9875,-2.1324,ambiguous_event,,,,,0.9519
seed:hard_negative_bucket_assignment:phase4h_acceptor_smoke_15clip:95e9a27a15c34e9f8cd367e464cf6905:clip-3,95e9a27a15c34e9f8cd367e464cf6905:clip-3,phase4h_acceptor_smoke_15clip,dead_ball|replay_or_reaction|setup|true_negative_non_event,artifact_split_other=ambiguous_event|event_family_other|hard_negative_bucket_assignment|needs_human_bucket_assignment|predicted_event_family_other|predicted_highlight|reviewer_fields_blank,,,,,needs_review,,not_started,,seed_queue,services/inference/evals/phase4h_acceptor_smoke/shadow_eval_report.json,,smoke,hard_negative_bucket_assignment,staging_hoopcut_demo_mixed_unlabeled,95e9a27a15c34e9f8cd367e464cf6905,cd96c319-1fcb-422b-b287-df57ce819855,75ac1ca115364ef99ac4c3ae2da4bafa,c12957c4533f41fab29361d49f5fed8d,temporal-event-detector-tridet-proposal-conditioned-shot-specialist-v2,Highlight,other,uncertain,,False,False,False,0.0125,0.9875,-2.1324,ambiguous_event,,,,,0.9519
